sector_code,naics,title,tradable,labor_cost_share,note
11,11,"Agriculture, Forestry, Fishing and Hunting",1,,to be filled by BEA input-output ingest (inventory row 24)
21,21,"Mining, Quarrying, and Oil and Gas Extraction",1,,to be filled by BEA input-output ingest (inventory row 24)
22,22,Utilities,0,,to be filled by BEA input-output ingest (inventory row 24)
23,23,Construction,0,,to be filled by BEA input-output ingest (inventory row 24)
31-33,31-33,Manufacturing,1,,to be filled by BEA input-output ingest (inventory row 24)
42,42,Wholesale Trade,0,,to be filled by BEA input-output ingest (inventory row 24)
44-45,44-45,Retail Trade,0,,to be filled by BEA input-output ingest (inventory row 24)
48-49,48-49,Transportation and Warehousing,0,,to be filled by BEA input-output ingest (inventory row 24)
51,51,Information,1,,to be filled by BEA input-output ingest (inventory row 24)
52,52,Finance and Insurance,1,,to be filled by BEA input-output ingest (inventory row 24)
53,53,Real Estate and Rental and Leasing,0,,to be filled by BEA input-output ingest (inventory row 24)
54,54,"Professional, Scientific, and Technical Services",1,,to be filled by BEA input-output ingest (inventory row 24)
55,55,Management of Companies and Enterprises,0,,to be filled by BEA input-output ingest (inventory row 24)
56,56,Administrative and Support and Waste Management and Remediation Services,0,,to be filled by BEA input-output ingest (inventory row 24)
61,61,Educational Services,0,,to be filled by BEA input-output ingest (inventory row 24)
62,62,Health Care and Social Assistance,0,,to be filled by BEA input-output ingest (inventory row 24)
71,71,"Arts, Entertainment, and Recreation",0,,to be filled by BEA input-output ingest (inventory row 24)
72,72,Accommodation and Food Services,0,,to be filled by BEA input-output ingest (inventory row 24)
81,81,Other Services (except Public Administration),0,,to be filled by BEA input-output ingest (inventory row 24)
92,92,Public Administration,0,,to be filled by BEA input-output ingest (inventory row 24)
