cls,region_id,start_year,full_year,j0,j_full,source_tag
driving,US,2024,2036,0.03,0.7,"E (spec v0.3 §A.3.4 baseline path, V?)"
driving,EU,2027,2040,0.0,0.5,"E (spec v0.3 §A.3.4 baseline path, V?)"
driving,UK,2026,2037,0.0,0.6,"E (spec v0.3 §A.3.4 baseline path, V?)"
driving,CN,2024,2034,0.03,0.8,"E (spec v0.3 §A.3.4 baseline path, V?)"
driving,JP,2025,2037,0.01,0.5,"E (spec v0.3 §A.3.4 baseline path, V?)"
driving,KR,2025,2036,0.01,0.6,"E (spec v0.3 §A.3.4 baseline path, V?)"
driving,IN,2032,2040,0.0,0.15,"E (spec v0.3 §A.3.4 baseline path, V?)"
driving,TW,2027,2038,0.0,0.5,"E (spec v0.3 §A.3.4 baseline path, V?)"
driving,SG,2025,2033,0.02,0.8,"E (spec v0.3 §A.3.4 baseline path, V?)"
driving,RoA,2025,2038,0.01,0.35,"E (spec v0.3 §A.3.4 baseline path, V?)"
aerial,US,2025,2036,0.02,0.5,"E (spec v0.3 §A.3.4 baseline path, V?)"
aerial,EU,2027,2040,0.0,0.4,"E (spec v0.3 §A.3.4 baseline path, V?)"
aerial,UK,2026,2038,0.0,0.5,"E (spec v0.3 §A.3.4 baseline path, V?)"
aerial,CN,2024,2034,0.05,0.7,"E (spec v0.3 §A.3.4 baseline path, V?)"
aerial,JP,2025,2036,0.02,0.5,"E (spec v0.3 §A.3.4 baseline path, V?)"
aerial,KR,2025,2035,0.02,0.6,"E (spec v0.3 §A.3.4 baseline path, V?)"
aerial,IN,2028,2040,0.0,0.3,"E (spec v0.3 §A.3.4 baseline path, V?)"
aerial,TW,2027,2038,0.0,0.5,"E (spec v0.3 §A.3.4 baseline path, V?)"
aerial,SG,2025,2032,0.05,0.8,"E (spec v0.3 §A.3.4 baseline path, V?)"
aerial,RoA,2026,2038,0.01,0.4,"E (spec v0.3 §A.3.4 baseline path, V?)"
manip,US,2024,2030,0.9,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
manip,EU,2024,2030,0.9,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
manip,UK,2024,2030,0.9,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
manip,CN,2024,2030,0.9,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
manip,JP,2024,2030,0.9,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
manip,KR,2024,2030,0.9,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
manip,IN,2024,2030,0.9,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
manip,TW,2024,2030,0.9,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
manip,SG,2024,2030,0.9,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
manip,RoA,2024,2030,0.9,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
fixed,US,2024,2030,0.95,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
fixed,EU,2024,2030,0.95,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
fixed,UK,2024,2030,0.95,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
fixed,CN,2024,2030,0.95,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
fixed,JP,2024,2030,0.95,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
fixed,KR,2024,2030,0.95,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
fixed,IN,2024,2030,0.95,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
fixed,TW,2024,2030,0.95,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
fixed,SG,2024,2030,0.95,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
fixed,RoA,2024,2030,0.95,1.0,"E (spec v0.3 §A.3.4 baseline path, V?)"
