decile,lower_bound_annual,source_tag
1,0.0,partial:OEWS_May2021_lognormal;D
2,22455.347672119904,partial:OEWS_May2021_lognormal;D
3,28956.624218168276,partial:OEWS_May2021_lognormal;D
4,34783.58917757208,partial:OEWS_May2021_lognormal;D
5,40682.934332779194,partial:OEWS_May2021_lognormal;D
6,47098.343919510924,partial:OEWS_May2021_lognormal;D
7,54525.41799998022,partial:OEWS_May2021_lognormal;D
8,63773.00481086707,partial:OEWS_May2021_lognormal;D
9,76606.09825397849,partial:OEWS_May2021_lognormal;D
10,98785.1104489765,partial:OEWS_May2021_lognormal;D
