occ_code,age_band,share,source_tag,job_zone,jz_imputed
11-1011,16-24,0.054054054054054064,FIXTURE,5.0,0
11-1011,25-44,0.4756756756756757,FIXTURE,5.0,0
11-1011,45-54,0.21621621621621626,FIXTURE,5.0,0
11-1011,55+,0.25405405405405407,FIXTURE,5.0,0
11-1021,16-24,0.07894736842105263,FIXTURE,4.0,0
11-1021,25-44,0.4631578947368421,FIXTURE,4.0,0
11-1021,45-54,0.2105263157894737,FIXTURE,4.0,0
11-1021,55+,0.24736842105263157,FIXTURE,4.0,0
11-1031,16-24,0.07821192300703736,FIXTURE,4.096616681851143,1
11-1031,25-44,0.4635277187164612,FIXTURE,4.096616681851143,1
11-1031,45-54,0.21069441759839147,FIXTURE,4.096616681851143,1
11-1031,55+,0.24756594067810997,FIXTURE,4.096616681851143,1
11-2011,16-24,0.07894736842105263,FIXTURE,4.0,0
11-2011,25-44,0.4631578947368421,FIXTURE,4.0,0
11-2011,45-54,0.2105263157894737,FIXTURE,4.0,0
11-2011,55+,0.24736842105263157,FIXTURE,4.0,0
11-2021,16-24,0.07894736842105263,FIXTURE,4.0,0
11-2021,25-44,0.4631578947368421,FIXTURE,4.0,0
11-2021,45-54,0.2105263157894737,FIXTURE,4.0,0
11-2021,55+,0.24736842105263157,FIXTURE,4.0,0
11-2022,16-24,0.07894736842105263,FIXTURE,4.0,0
11-2022,25-44,0.4631578947368421,FIXTURE,4.0,0
11-2022,45-54,0.2105263157894737,FIXTURE,4.0,0
11-2022,55+,0.24736842105263157,FIXTURE,4.0,0
11-2032,16-24,0.07821192300703736,FIXTURE,4.096616681851143,1
11-2032,25-44,0.4635277187164612,FIXTURE,4.096616681851143,1
11-2032,45-54,0.21069441759839147,FIXTURE,4.096616681851143,1
11-2032,55+,0.24756594067810997,FIXTURE,4.096616681851143,1
11-2033,16-24,0.07821192300703736,FIXTURE,4.096616681851143,1
11-2033,25-44,0.4635277187164612,FIXTURE,4.096616681851143,1
11-2033,45-54,0.21069441759839147,FIXTURE,4.096616681851143,1
11-2033,55+,0.24756594067810997,FIXTURE,4.096616681851143,1
11-3012,16-24,0.12500000000000003,FIXTURE,3.0,0
11-3012,25-44,0.44000000000000006,FIXTURE,3.0,0
11-3012,45-54,0.20000000000000004,FIXTURE,3.0,0
11-3012,55+,0.23500000000000001,FIXTURE,3.0,0
11-3013,16-24,0.07821192300703736,FIXTURE,4.096616681851143,1
11-3013,25-44,0.4635277187164612,FIXTURE,4.096616681851143,1
11-3013,45-54,0.21069441759839147,FIXTURE,4.096616681851143,1
11-3013,55+,0.24756594067810997,FIXTURE,4.096616681851143,1
