occ_code,decile,share,source_tag,mu,sigma,n_points,fit_level
11-1011,1,0.006489691807830156,partial:OEWS_May2021_lognormal;D,12.127743836656393,0.8487020550933907,3,own
11-1011,2,0.007964428643650212,partial:OEWS_May2021_lognormal;D,12.127743836656393,0.8487020550933907,3,own
11-1011,3,0.010039443896672717,partial:OEWS_May2021_lognormal;D,12.127743836656393,0.8487020550933907,3,own
11-1011,4,0.012709137354516176,partial:OEWS_May2021_lognormal;D,12.127743836656393,0.8487020550933907,3,own
11-1011,5,0.016324050399363965,partial:OEWS_May2021_lognormal;D,12.127743836656393,0.8487020550933907,3,own
11-1011,6,0.02154194591736147,partial:OEWS_May2021_lognormal;D,12.127743836656393,0.8487020550933907,3,own
11-1011,7,0.029769629022815713,partial:OEWS_May2021_lognormal;D,12.127743836656393,0.8487020550933907,3,own
11-1011,8,0.044698218177090965,partial:OEWS_May2021_lognormal;D,12.127743836656393,0.8487020550933907,3,own
11-1011,9,0.08047031385037395,partial:OEWS_May2021_lognormal;D,12.127743836656393,0.8487020550933907,3,own
11-1011,10,0.7699931409303247,partial:OEWS_May2021_lognormal;D,12.127743836656393,0.8487020550933907,3,own
11-1021,1,0.011956466958311707,partial:OEWS_May2021_lognormal;D,11.485761294930212,0.6493074383392818,4,own
11-1021,2,0.01899970037669091,partial:OEWS_May2021_lognormal;D,11.485761294930212,0.6493074383392818,4,own
11-1021,3,0.025578101567170053,partial:OEWS_May2021_lognormal;D,11.485761294930212,0.6493074383392818,4,own
11-1021,4,0.03305748578539264,partial:OEWS_May2021_lognormal;D,11.485761294930212,0.6493074383392818,4,own
11-1021,5,0.04224356119617395,partial:OEWS_May2021_lognormal;D,11.485761294930212,0.6493074383392818,4,own
11-1021,6,0.05429643751887375,partial:OEWS_May2021_lognormal;D,11.485761294930212,0.6493074383392818,4,own
11-1021,7,0.07140297543684748,partial:OEWS_May2021_lognormal;D,11.485761294930212,0.6493074383392818,4,own
11-1021,8,0.09868131374595523,partial:OEWS_May2021_lognormal;D,11.485761294930212,0.6493074383392818,4,own
11-1021,9,0.15296299931556923,partial:OEWS_May2021_lognormal;D,11.485761294930212,0.6493074383392818,4,own
11-1021,10,0.49082095809901505,partial:OEWS_May2021_lognormal;D,11.485761294930212,0.6493074383392818,4,own
11-1031,1,0.2007843444854392,partial:OEWS_May2021_lognormal;D,10.628682243818616,0.7264920443411186,5,own
11-1031,2,0.11169821159936572,partial:OEWS_May2021_lognormal;D,10.628682243818616,0.7264920443411186,5,own
11-1031,3,0.0940580087918888,partial:OEWS_May2021_lognormal;D,10.628682243818616,0.7264920443411186,5,own
11-1031,4,0.08515806479172316,partial:OEWS_May2021_lognormal;D,10.628682243818616,0.7264920443411186,5,own
11-1031,5,0.08001808064531107,partial:OEWS_May2021_lognormal;D,10.628682243818616,0.7264920443411186,5,own
11-1031,6,0.07716493675040814,partial:OEWS_May2021_lognormal;D,10.628682243818616,0.7264920443411186,5,own
11-1031,7,0.07618037129704536,partial:OEWS_May2021_lognormal;D,10.628682243818616,0.7264920443411186,5,own
11-1031,8,0.07736400106039887,partial:OEWS_May2021_lognormal;D,10.628682243818616,0.7264920443411186,5,own
11-1031,9,0.08256563477223378,partial:OEWS_May2021_lognormal;D,10.628682243818616,0.7264920443411186,5,own
11-1031,10,0.11500834580618591,partial:OEWS_May2021_lognormal;D,10.628682243818616,0.7264920443411186,5,own
11-2011,1,0.00046290867219395126,partial:OEWS_May2021_lognormal;D,11.737055551484099,0.5186272473707673,4,own
11-2011,2,0.0019242802342098742,partial:OEWS_May2021_lognormal;D,11.737055551484099,0.5186272473707673,4,own
11-2011,3,0.004399650691157442,partial:OEWS_May2021_lognormal;D,11.737055551484099,0.5186272473707673,4,own
11-2011,4,0.008358078200967234,partial:OEWS_May2021_lognormal;D,11.737055551484099,0.5186272473707673,4,own
11-2011,5,0.014641652031192054,partial:OEWS_May2021_lognormal;D,11.737055551484099,0.5186272473707673,4,own
11-2011,6,0.02483549801406565,partial:OEWS_May2021_lognormal;D,11.737055551484099,0.5186272473707673,4,own
11-2011,7,0.042259438541566496,partial:OEWS_May2021_lognormal;D,11.737055551484099,0.5186272473707673,4,own
11-2011,8,0.07519169939825221,partial:OEWS_May2021_lognormal;D,11.737055551484099,0.5186272473707673,4,own
11-2011,9,0.15221929195974698,partial:OEWS_May2021_lognormal;D,11.737055551484099,0.5186272473707673,4,own
11-2011,10,0.6757075022566481,partial:OEWS_May2021_lognormal;D,11.737055551484099,0.5186272473707673,4,own
11-2021,1,0.00004257481025810028,partial:OEWS_May2021_lognormal;D,11.836842208718709,0.462550793510232,4,own
11-2021,2,0.00032023581434326154,partial:OEWS_May2021_lognormal;D,11.836842208718709,0.462550793510232,4,own
11-2021,3,0.0010628456171180023,partial:OEWS_May2021_lognormal;D,11.836842208718709,0.462550793510232,4,own
11-2021,4,0.0026632921260143494,partial:OEWS_May2021_lognormal;D,11.836842208718709,0.462550793510232,4,own
11-2021,5,0.005865333252621063,partial:OEWS_May2021_lognormal;D,11.836842208718709,0.462550793510232,4,own
