occ_code,sector_code,emp_share,source_tag
11-1011,ALL,1.0,FIXTURE
11-1021,ALL,1.0,FIXTURE
11-1031,ALL,1.0,FIXTURE
11-2011,ALL,1.0,FIXTURE
11-2021,ALL,1.0,FIXTURE
11-2022,ALL,1.0,FIXTURE
11-2032,ALL,1.0,FIXTURE
11-2033,ALL,1.0,FIXTURE
11-3012,ALL,1.0,FIXTURE
11-3013,ALL,1.0,FIXTURE
11-3021,ALL,1.0,FIXTURE
11-3031,ALL,1.0,FIXTURE
11-3051,ALL,1.0,FIXTURE
11-3061,ALL,1.0,FIXTURE
11-3071,ALL,1.0,FIXTURE
11-3111,ALL,1.0,FIXTURE
11-3121,ALL,1.0,FIXTURE
11-3131,ALL,1.0,FIXTURE
11-9013,ALL,1.0,FIXTURE
11-9021,ALL,1.0,FIXTURE
11-9031,ALL,1.0,FIXTURE
11-9032,ALL,1.0,FIXTURE
11-9033,ALL,1.0,FIXTURE
11-9039,ALL,1.0,FIXTURE
11-9041,ALL,1.0,FIXTURE
11-9051,ALL,1.0,FIXTURE
11-9071,ALL,1.0,FIXTURE
11-9072,ALL,1.0,FIXTURE
11-9081,ALL,1.0,FIXTURE
11-9111,ALL,1.0,FIXTURE
11-9121,ALL,1.0,FIXTURE
11-9131,ALL,1.0,FIXTURE
11-9141,ALL,1.0,FIXTURE
11-9151,ALL,1.0,FIXTURE
11-9161,ALL,1.0,FIXTURE
11-9171,ALL,1.0,FIXTURE
11-9179,ALL,1.0,FIXTURE
11-9199,ALL,1.0,FIXTURE
13-1011,ALL,1.0,FIXTURE
13-1020,ALL,1.0,FIXTURE
13-1031,ALL,1.0,FIXTURE
13-1032,ALL,1.0,FIXTURE
13-1041,ALL,1.0,FIXTURE
13-1051,ALL,1.0,FIXTURE
13-1071,ALL,1.0,FIXTURE
13-1074,ALL,1.0,FIXTURE
13-1075,ALL,1.0,FIXTURE
13-1081,ALL,1.0,FIXTURE
13-1082,ALL,1.0,FIXTURE
13-1111,ALL,1.0,FIXTURE
13-1121,ALL,1.0,FIXTURE
13-1131,ALL,1.0,FIXTURE
13-1141,ALL,1.0,FIXTURE
13-1151,ALL,1.0,FIXTURE
13-1161,ALL,1.0,FIXTURE
13-1199,ALL,1.0,FIXTURE
13-2011,ALL,1.0,FIXTURE
13-2020,ALL,1.0,FIXTURE
13-2031,ALL,1.0,FIXTURE
13-2041,ALL,1.0,FIXTURE
13-2051,ALL,1.0,FIXTURE
13-2052,ALL,1.0,FIXTURE
13-2053,ALL,1.0,FIXTURE
13-2054,ALL,1.0,FIXTURE
13-2061,ALL,1.0,FIXTURE
13-2071,ALL,1.0,FIXTURE
13-2072,ALL,1.0,FIXTURE
13-2081,ALL,1.0,FIXTURE
13-2082,ALL,1.0,FIXTURE
13-2099,ALL,1.0,FIXTURE
15-1211,ALL,1.0,FIXTURE
15-1212,ALL,1.0,FIXTURE
15-1221,ALL,1.0,FIXTURE
15-1231,ALL,1.0,FIXTURE
15-1232,ALL,1.0,FIXTURE
15-1241,ALL,1.0,FIXTURE
15-1242,ALL,1.0,FIXTURE
15-1243,ALL,1.0,FIXTURE
15-1244,ALL,1.0,FIXTURE
15-1251,ALL,1.0,FIXTURE
15-1252,ALL,1.0,FIXTURE
15-1253,ALL,1.0,FIXTURE
