occ_code,fips,emp,source_tag
11-1011,01,1085,real:OEWS_May2025_state; renormalized to national
11-1011,02,857,real:OEWS_May2025_state; renormalized to national
11-1011,05,4755,real:OEWS_May2025_state; renormalized to national
11-1011,06,46477,real:OEWS_May2025_state; renormalized to national
11-1011,09,2223,real:OEWS_May2025_state; renormalized to national
11-1011,10,522,real:OEWS_May2025_state; renormalized to national
11-1011,13,5465,real:OEWS_May2025_state; renormalized to national
11-1011,15,629,real:OEWS_May2025_state; renormalized to national
11-1011,16,3911,real:OEWS_May2025_state; renormalized to national
11-1011,17,6188,real:OEWS_May2025_state; renormalized to national
11-1011,18,2438,real:OEWS_May2025_state; renormalized to national
11-1011,19,4085,real:OEWS_May2025_state; renormalized to national
11-1011,20,2625,real:OEWS_May2025_state; renormalized to national
11-1011,21,2773,real:OEWS_May2025_state; renormalized to national
11-1011,23,2116,real:OEWS_May2025_state; renormalized to national
11-1011,24,4259,real:OEWS_May2025_state; renormalized to national
11-1011,25,8827,real:OEWS_May2025_state; renormalized to national
11-1011,26,6630,real:OEWS_May2025_state; renormalized to national
11-1011,27,9027,real:OEWS_May2025_state; renormalized to national
11-1011,28,415,real:OEWS_May2025_state; renormalized to national
11-1011,29,3415,real:OEWS_May2025_state; renormalized to national
11-1011,30,897,real:OEWS_May2025_state; renormalized to national
11-1011,31,3362,real:OEWS_May2025_state; renormalized to national
11-1011,32,1835,real:OEWS_May2025_state; renormalized to national
11-1011,34,3255,real:OEWS_May2025_state; renormalized to national
11-1011,35,134,real:OEWS_May2025_state; renormalized to national
11-1011,36,11291,real:OEWS_May2025_state; renormalized to national
11-1011,37,2585,real:OEWS_May2025_state; renormalized to national
11-1011,38,509,real:OEWS_May2025_state; renormalized to national
11-1011,39,5987,real:OEWS_May2025_state; renormalized to national
11-1011,40,3201,real:OEWS_May2025_state; renormalized to national
11-1011,41,1219,real:OEWS_May2025_state; renormalized to national
11-1011,42,11854,real:OEWS_May2025_state; renormalized to national
11-1011,44,616,real:OEWS_May2025_state; renormalized to national
11-1011,45,2331,real:OEWS_May2025_state; renormalized to national
11-1011,46,683,real:OEWS_May2025_state; renormalized to national
11-1011,47,6295,real:OEWS_May2025_state; renormalized to national
11-1011,48,11760,real:OEWS_May2025_state; renormalized to national
11-1011,49,4206,real:OEWS_May2025_state; renormalized to national
11-1011,50,482,real:OEWS_May2025_state; renormalized to national
11-1011,51,6523,real:OEWS_May2025_state; renormalized to national
11-1011,53,4246,real:OEWS_May2025_state; renormalized to national
11-1011,54,2277,real:OEWS_May2025_state; renormalized to national
11-1011,56,80,real:OEWS_May2025_state; renormalized to national
11-1021,01,30170,real:OEWS_May2025_state; renormalized to national
11-1021,02,6020,real:OEWS_May2025_state; renormalized to national
11-1021,04,110479,real:OEWS_May2025_state; renormalized to national
11-1021,05,34570,real:OEWS_May2025_state; renormalized to national
11-1021,06,300838,real:OEWS_May2025_state; renormalized to national
11-1021,08,41870,real:OEWS_May2025_state; renormalized to national
11-1021,09,39070,real:OEWS_May2025_state; renormalized to national
11-1021,10,5000,real:OEWS_May2025_state; renormalized to national
11-1021,11,36150,real:OEWS_May2025_state; renormalized to national
11-1021,12,236289,real:OEWS_May2025_state; renormalized to national
11-1021,13,111059,real:OEWS_May2025_state; renormalized to national
11-1021,15,13380,real:OEWS_May2025_state; renormalized to national
11-1021,16,24880,real:OEWS_May2025_state; renormalized to national
11-1021,17,171299,real:OEWS_May2025_state; renormalized to national
11-1021,18,47180,real:OEWS_May2025_state; renormalized to national
11-1021,19,30760,real:OEWS_May2025_state; renormalized to national
11-1021,20,24660,real:OEWS_May2025_state; renormalized to national
11-1021,21,52100,real:OEWS_May2025_state; renormalized to national
11-1021,22,43220,real:OEWS_May2025_state; renormalized to national
11-1021,23,14770,real:OEWS_May2025_state; renormalized to national
11-1021,24,96739,real:OEWS_May2025_state; renormalized to national
11-1021,25,95879,real:OEWS_May2025_state; renormalized to national
11-1021,26,85859,real:OEWS_May2025_state; renormalized to national
11-1021,27,72859,real:OEWS_May2025_state; renormalized to national
11-1021,28,10630,real:OEWS_May2025_state; renormalized to national
11-1021,29,109019,real:OEWS_May2025_state; renormalized to national
11-1021,30,11840,real:OEWS_May2025_state; renormalized to national
11-1021,31,24030,real:OEWS_May2025_state; renormalized to national
11-1021,32,38920,real:OEWS_May2025_state; renormalized to national
11-1021,33,22110,real:OEWS_May2025_state; renormalized to national
11-1021,34,53000,real:OEWS_May2025_state; renormalized to national
11-1021,35,16330,real:OEWS_May2025_state; renormalized to national
11-1021,36,206739,real:OEWS_May2025_state; renormalized to national
11-1021,37,63739,real:OEWS_May2025_state; renormalized to national
11-1021,38,11150,real:OEWS_May2025_state; renormalized to national
11-1021,39,153159,real:OEWS_May2025_state; renormalized to national
11-1021,40,43890,real:OEWS_May2025_state; renormalized to national
11-1021,41,36190,real:OEWS_May2025_state; renormalized to national
11-1021,42,172009,real:OEWS_May2025_state; renormalized to national
11-1021,44,9150,real:OEWS_May2025_state; renormalized to national
11-1021,45,32230,real:OEWS_May2025_state; renormalized to national
11-1021,46,4280,real:OEWS_May2025_state; renormalized to national
11-1021,47,63719,real:OEWS_May2025_state; renormalized to national
11-1021,48,431307,real:OEWS_May2025_state; renormalized to national
11-1021,49,42580,real:OEWS_May2025_state; renormalized to national
11-1021,50,8000,real:OEWS_May2025_state; renormalized to national
11-1021,51,103589,real:OEWS_May2025_state; renormalized to national
11-1021,53,50630,real:OEWS_May2025_state; renormalized to national
11-1021,54,15300,real:OEWS_May2025_state; renormalized to national
11-1021,55,36910,real:OEWS_May2025_state; renormalized to national
11-1021,56,7470,real:OEWS_May2025_state; renormalized to national
11-1031,01,606,derived: national employment by state employment share (no state rows published)
11-1031,02,93,derived: national employment by state employment share (no state rows published)
11-1031,04,929,derived: national employment by state employment share (no state rows published)
11-1031,05,374,derived: national employment by state employment share (no state rows published)
11-1031,06,5223,derived: national employment by state employment share (no state rows published)
11-1031,08,824,derived: national employment by state employment share (no state rows published)
11-1031,09,486,derived: national employment by state employment share (no state rows published)
11-1031,10,139,derived: national employment by state employment share (no state rows published)
11-1031,11,201,derived: national employment by state employment share (no state rows published)
11-1031,12,2847,derived: national employment by state employment share (no state rows published)
11-1031,13,1402,derived: national employment by state employment share (no state rows published)
11-1031,15,180,derived: national employment by state employment share (no state rows published)
11-1031,16,246,derived: national employment by state employment share (no state rows published)
11-1031,17,1749,derived: national employment by state employment share (no state rows published)
11-1031,18,918,derived: national employment by state employment share (no state rows published)
11-1031,19,447,derived: national employment by state employment share (no state rows published)
11-1031,20,412,derived: national employment by state employment share (no state rows published)
11-1031,21,574,derived: national employment by state employment share (no state rows published)
11-1031,22,555,derived: national employment by state employment share (no state rows published)
11-1031,23,184,derived: national employment by state employment share (no state rows published)
11-1031,24,792,derived: national employment by state employment share (no state rows published)
11-1031,25,1043,derived: national employment by state employment share (no state rows published)
11-1031,26,1263,derived: national employment by state employment share (no state rows published)
11-1031,27,846,derived: national employment by state employment share (no state rows published)
11-1031,28,334,derived: national employment by state employment share (no state rows published)
11-1031,29,842,derived: national employment by state employment share (no state rows published)
11-1031,30,147,derived: national employment by state employment share (no state rows published)
11-1031,31,294,derived: national employment by state employment share (no state rows published)
11-1031,32,445,derived: national employment by state employment share (no state rows published)
11-1031,33,196,derived: national employment by state employment share (no state rows published)
11-1031,34,1229,derived: national employment by state employment share (no state rows published)
11-1031,35,250,derived: national employment by state employment share (no state rows published)
11-1031,36,2778,derived: national employment by state employment share (no state rows published)
11-1031,37,1417,derived: national employment by state employment share (no state rows published)
11-1031,38,123,derived: national employment by state employment share (no state rows published)
11-1031,39,1592,derived: national employment by state employment share (no state rows published)
11-1031,40,490,derived: national employment by state employment share (no state rows published)
11-1031,41,564,derived: national employment by state employment share (no state rows published)
11-1031,42,1739,derived: national employment by state employment share (no state rows published)
11-1031,44,144,derived: national employment by state employment share (no state rows published)
11-1031,45,661,derived: national employment by state employment share (no state rows published)
11-1031,46,131,derived: national employment by state employment share (no state rows published)
11-1031,47,940,derived: national employment by state employment share (no state rows published)
11-1031,48,4035,derived: national employment by state employment share (no state rows published)
11-1031,49,498,derived: national employment by state employment share (no state rows published)
11-1031,50,87,derived: national employment by state employment share (no state rows published)
11-1031,51,1178,derived: national employment by state employment share (no state rows published)
11-1031,53,1018,derived: national employment by state employment share (no state rows published)
11-1031,54,201,derived: national employment by state employment share (no state rows published)
11-1031,55,844,derived: national employment by state employment share (no state rows published)
11-1031,56,80,derived: national employment by state employment share (no state rows published)
11-2011,01,73,real:OEWS_May2025_state; renormalized to national
11-2011,05,169,real:OEWS_May2025_state; renormalized to national
11-2011,06,3730,real:OEWS_May2025_state; renormalized to national
11-2011,08,218,real:OEWS_May2025_state; renormalized to national
11-2011,09,291,real:OEWS_May2025_state; renormalized to national
11-2011,11,97,real:OEWS_May2025_state; renormalized to national
11-2011,13,509,real:OEWS_May2025_state; renormalized to national
11-2011,16,73,real:OEWS_May2025_state; renormalized to national
11-2011,17,194,real:OEWS_May2025_state; renormalized to national
11-2011,18,145,real:OEWS_May2025_state; renormalized to national
11-2011,19,254,real:OEWS_May2025_state; renormalized to national
11-2011,20,48,real:OEWS_May2025_state; renormalized to national
11-2011,21,278,real:OEWS_May2025_state; renormalized to national
11-2011,22,145,real:OEWS_May2025_state; renormalized to national
11-2011,24,557,real:OEWS_May2025_state; renormalized to national
11-2011,25,363,real:OEWS_May2025_state; renormalized to national
11-2011,26,266,real:OEWS_May2025_state; renormalized to national
11-2011,27,133,real:OEWS_May2025_state; renormalized to national
11-2011,28,121,real:OEWS_May2025_state; renormalized to national
11-2011,31,194,real:OEWS_May2025_state; renormalized to national
11-2011,33,60,real:OEWS_May2025_state; renormalized to national
11-2011,34,569,real:OEWS_May2025_state; renormalized to national
11-2011,35,97,real:OEWS_May2025_state; renormalized to national
11-2011,36,4299,real:OEWS_May2025_state; renormalized to national
11-2011,39,291,real:OEWS_May2025_state; renormalized to national
11-2011,40,109,real:OEWS_May2025_state; renormalized to national
11-2011,41,521,real:OEWS_May2025_state; renormalized to national
11-2011,42,1865,real:OEWS_May2025_state; renormalized to national
11-2011,44,73,real:OEWS_May2025_state; renormalized to national
