occ_code,title,major_group,cluster_id,cluster_title,emp_national,wage_mean_annual,wage_p10_annual,wage_median_annual,baseline_growth_10y,source_tag,eloundou_beta,n_tasks,growth_match_level,wage_imputed,beta_imputed,cluster_size,cluster_rule
11-1011,Chief Executives,11,c001,Chief Executives,204350,269630.0,75700.0,213990.0,-0.057,partial:OEWS_May2025;EP_2020-30,0.4386111111111111,49,detailed,0,0,1,single
11-1021,General and Operations Managers,11,c002,General and Operations Managers,3503020,134940.0,50090.0,105770.0,0.094,partial:OEWS_May2025;EP_2020-30,0.4326923076923077,17,detailed,0,0,1,anchor
11-1031,Legislators,11,c003,Legislators,44590,57110.0,17850.0,37270.0,0.076,partial:OEWS_May2025;EP_2020-30,0.4583333333333333,30,detailed,0,0,1,single
11-2011,Advertising and Promotions Managers,11,c006,Public Relations Managers (+2),21470,154280.0,63300.0,133660.0,0.10300000000000001,partial:OEWS_May2025;EP_2020-30,0.5116279069767442,30,detailed,0,0,3,merged
11-2021,Marketing Managers,11,c004,Marketing Managers,395240,177770.0,90260.0,166790.0,0.1,partial:OEWS_May2025;EP_2020-30,0.5390625,20,detailed,0,0,1,anchor
11-2022,Sales Managers,11,c005,Sales Managers,637080,164350.0,73170.0,148270.0,0.07,partial:OEWS_May2025;EP_2020-30,0.4666666666666667,17,detailed,0,0,1,anchor
11-2032,Public Relations Managers,11,c006,Public Relations Managers (+2),74850,164760.0,82410.0,146910.0,0.126,partial:OEWS_May2025;EP_2020-30,0.5625,20,broad,0,0,3,merged
11-2033,Fundraising Managers,11,c006,Public Relations Managers (+2),38810,140020.0,75130.0,125470.0,0.126,partial:OEWS_May2025;EP_2020-30,0.53125,16,broad,0,0,3,merged
11-3012,Administrative Services Managers,11,c007,Administrative Services Managers (+3),263960,129870.0,67100.0,114130.0,0.08900000000000001,partial:OEWS_May2025;EP_2020-30,0.44565217391304346,18,broad,0,0,4,merged
11-3013,Facilities Managers,11,c007,Administrative Services Managers (+3),156180,116890.0,64480.0,106660.0,0.08900000000000001,partial:OEWS_May2025;EP_2020-30,0.4021915584415584,39,broad,0,0,4,merged
11-3021,Computer and Information Systems Managers,11,c008,Computer and Information Systems Managers,670570,192160.0,107550.0,175140.0,0.109,partial:OEWS_May2025;EP_2020-30,0.5454545454545454,17,detailed,0,0,1,anchor
11-3031,Financial Managers,11,c009,Financial Managers,841710,186910.0,94310.0,166570.0,0.17300000000000001,partial:OEWS_May2025;EP_2020-30,0.4695929638912095,63,detailed,0,0,1,anchor
11-3051,Industrial Production Managers,11,c007,Administrative Services Managers (+3),246250,134170.0,78000.0,126060.0,0.053,partial:OEWS_May2025;EP_2020-30,0.36766130390835583,117,detailed,0,0,4,merged
11-3061,Purchasing Managers,11,c010,Purchasing Managers,84320,156360.0,92490.0,148080.0,0.061,partial:OEWS_May2025;EP_2020-30,0.5285714285714286,18,detailed,0,0,1,single
11-3071,"Transportation, Storage, and Distribution Managers",11,c007,Administrative Services Managers (+3),221180,121600.0,65120.0,107230.0,0.083,partial:OEWS_May2025;EP_2020-30,0.4797483766233766,60,detailed,0,0,4,merged
11-3111,Compensation and Benefits Managers,11,c011,Human Resources Managers (+2),22940,162640.0,89160.0,149230.0,0.04,partial:OEWS_May2025;EP_2020-30,0.48684210526315785,24,detailed,0,0,3,merged
11-3121,Human Resources Managers,11,c011,Human Resources Managers (+2),220660,164230.0,88200.0,149280.0,0.092,partial:OEWS_May2025;EP_2020-30,0.46499999999999997,26,detailed,0,0,3,merged
11-3131,Training and Development Managers,11,c011,Human Resources Managers (+2),48050,148370.0,79550.0,133000.0,0.107,partial:OEWS_May2025;EP_2020-30,0.48863636363636365,12,detailed,0,0,3,merged
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",11,c012,"Farmers, Ranchers, and Other Agricultural Managers",6500,99820.0,54320.0,89900.0,-0.006999999999999999,partial:OEWS_May2025;EP_2020-30,0.3061224489795918,30,detailed,0,0,1,single
11-9021,Construction Managers,11,c013,Construction Managers,380360,124360.0,69690.0,114990.0,0.115,partial:OEWS_May2025;EP_2020-30,0.4222222222222223,25,detailed,0,0,1,anchor
11-9031,"Education and Childcare Administrators, Preschool and Daycare",11,c017,Food Service Managers (+3),73660,64800.0,38580.0,59300.0,0.114,partial:OEWS_May2025;EP_2020-30,0.4921875,17,detailed,0,0,4,merged
11-9032,"Education Administrators, Kindergarten through Secondary",11,c014,"Education Administrators, Kindergarten through Secondary",328330,116100.0,76280.0,105870.0,0.078,partial:OEWS_May2025;EP_2020-30,0.43636363636363634,32,detailed,0,0,1,anchor
11-9033,"Education Administrators, Postsecondary",11,c015,"Education Administrators, Postsecondary (+2)",180470,126540.0,64560.0,104590.0,0.075,partial:OEWS_May2025;EP_2020-30,0.4573170731707317,29,detailed,0,0,3,merged
11-9039,"Education Administrators, All Other",11,c015,"Education Administrators, Postsecondary (+2)",55130,101900.0,51910.0,95200.0,0.126,partial:OEWS_May2025;EP_2020-30,0.4238261032936537,0,detailed,0,1,3,merged
11-9041,Architectural and Engineering Managers,11,c016,Architectural and Engineering Managers,220260,181540.0,120810.0,171270.0,0.040999999999999995,partial:OEWS_May2025;EP_2020-30,0.3866995073891626,40,detailed,0,0,1,single
