occ_code,region_id,emp,wage_mean_annual_usd,source_tag
11-1011,CN,495055,53255.0,FIXTURE:us_mix_gdp_pc_tilt
11-1021,CN,7370801,28812.5,FIXTURE:us_mix_gdp_pc_tilt
11-1031,CN,110108,14277.5,FIXTURE:us_mix_gdp_pc_tilt
11-2011,CN,55610,35715.0,FIXTURE:us_mix_gdp_pc_tilt
11-2021,CN,688182,38360.0,FIXTURE:us_mix_gdp_pc_tilt
11-2022,CN,1120589,35597.5,FIXTURE:us_mix_gdp_pc_tilt
11-2032,CN,147790,34500.0,FIXTURE:us_mix_gdp_pc_tilt
11-2033,CN,57264,29850.0,FIXTURE:us_mix_gdp_pc_tilt
11-3012,CN,554665,28257.5,FIXTURE:us_mix_gdp_pc_tilt
11-3013,CN,249972,25492.5,FIXTURE:us_mix_gdp_pc_tilt
11-3021,CN,1198102,40732.5,FIXTURE:us_mix_gdp_pc_tilt
11-3031,CN,1681798,38365.0,FIXTURE:us_mix_gdp_pc_tilt
11-3051,CN,474781,29445.0,FIXTURE:us_mix_gdp_pc_tilt
11-3061,CN,171150,33647.5,FIXTURE:us_mix_gdp_pc_tilt
11-3071,CN,357166,26395.0,FIXTURE:us_mix_gdp_pc_tilt
11-3111,CN,37855,34867.5,FIXTURE:us_mix_gdp_pc_tilt
11-3121,CN,411220,34147.5,FIXTURE:us_mix_gdp_pc_tilt
11-3131,CN,88477,32200.0,FIXTURE:us_mix_gdp_pc_tilt
11-9013,CN,12890,19610.0,FIXTURE:us_mix_gdp_pc_tilt
11-9021,CN,703146,27052.5,FIXTURE:us_mix_gdp_pc_tilt
11-9031,CN,139345,13450.0,FIXTURE:us_mix_gdp_pc_tilt
11-9032,CN,678354,25662.5,FIXTURE:us_mix_gdp_pc_tilt
11-9033,CN,385193,27815.0,FIXTURE:us_mix_gdp_pc_tilt
11-9039,CN,123393,23682.5,FIXTURE:us_mix_gdp_pc_tilt
11-9041,CN,462015,39742.5,FIXTURE:us_mix_gdp_pc_tilt
11-9051,CN,520242,15992.5,FIXTURE:us_mix_gdp_pc_tilt
11-9071,CN,9038,22297.5,FIXTURE:us_mix_gdp_pc_tilt
11-9072,CN,43954,18452.5,FIXTURE:us_mix_gdp_pc_tilt
11-9081,CN,88699,16942.5,FIXTURE:us_mix_gdp_pc_tilt
11-9111,CN,1078536,29960.0,FIXTURE:us_mix_gdp_pc_tilt
11-9121,CN,184608,39027.5,FIXTURE:us_mix_gdp_pc_tilt
11-9131,CN,31484,20455.0,FIXTURE:us_mix_gdp_pc_tilt
11-9141,CN,579506,17507.5,FIXTURE:us_mix_gdp_pc_tilt
11-9151,CN,386206,19197.5,FIXTURE:us_mix_gdp_pc_tilt
11-9161,CN,25484,21200.0,FIXTURE:us_mix_gdp_pc_tilt
11-9171,CN,31385,20725.0,FIXTURE:us_mix_gdp_pc_tilt
11-9179,CN,18150,14895.0,FIXTURE:us_mix_gdp_pc_tilt
11-9199,CN,1229463,32427.5,FIXTURE:us_mix_gdp_pc_tilt
