iso3,region_id,name,population,gdp_bn_usd,source_tag,continent,subregion,pop_year,gdp_year
ABW,"",Aruba,106314,3.056,real:natural_earth_admin0_50m,North America,Caribbean,2019,2017
AFG,RoA,Afghanistan,38041754,19.291,real:natural_earth_admin0_50m,Asia,Southern Asia,2019,2019
AGO,"",Angola,31825295,88.815,real:natural_earth_admin0_50m,Africa,Middle Africa,2019,2019
AIA,"",Anguilla,14731,0.175,real:natural_earth_admin0_50m,North America,Caribbean,2018,2009
ALB,"",Albania,2854191,15.279,real:natural_earth_admin0_50m,Europe,Southern Europe,2019,2019
ALD,"",Åland,29884,1.563,real:natural_earth_admin0_50m,Europe,Northern Europe,2019,2016
AND,"",Andorra,77142,3.154,real:natural_earth_admin0_50m,Europe,Southern Europe,2019,2019
ARE,"",United Arab Emirates,9770529,421.142,real:natural_earth_admin0_50m,Asia,Western Asia,2019,2019
ARG,"",Argentina,44938712,445.445,real:natural_earth_admin0_50m,South America,South America,2019,2019
ARM,"",Armenia,2957731,13.672,real:natural_earth_admin0_50m,Asia,Western Asia,2019,2019
ASM,"",American Samoa,55312,0.636,real:natural_earth_admin0_50m,Oceania,Polynesia,2019,2018
ATC,"",Ashmore and Cartier Is.,0,0.0,real:natural_earth_admin0_50m,Oceania,Australia and New Zealand,2019,2019
ATF,"",Fr. S. Antarctic Lands,140,0.016,real:natural_earth_admin0_50m,Seven seas (open ocean),Seven seas (open ocean),2017,2016
ATG,"",Antigua and Barb.,97118,1.661,real:natural_earth_admin0_50m,North America,Caribbean,2019,2019
AUS,"",Australia,25364307,1396.567,real:natural_earth_admin0_50m,Oceania,Australia and New Zealand,2019,2019
AUT,EU,Austria,8877067,445.075,real:natural_earth_admin0_50m,Europe,Western Europe,2019,2019
AZE,"",Azerbaijan,10023318,48.047,real:natural_earth_admin0_50m,Asia,Western Asia,2019,2019
BDI,"",Burundi,11530580,3.012,real:natural_earth_admin0_50m,Africa,Eastern Africa,2019,2019
BEL,EU,Belgium,11484055,533.097,real:natural_earth_admin0_50m,Europe,Western Europe,2019,2019
BEN,"",Benin,11801151,14.39,real:natural_earth_admin0_50m,Africa,Western Africa,2019,2019
BFA,"",Burkina Faso,20321378,15.99,real:natural_earth_admin0_50m,Africa,Western Africa,2019,2019
BGD,RoA,Bangladesh,163046161,302.571,real:natural_earth_admin0_50m,Asia,Southern Asia,2019,2019
BGR,EU,Bulgaria,6975761,68.558,real:natural_earth_admin0_50m,Europe,Eastern Europe,2019,2019
BHR,"",Bahrain,1641172,38.574,real:natural_earth_admin0_50m,Asia,Western Asia,2019,2019
BHS,"",Bahamas,389482,13.578,real:natural_earth_admin0_50m,North America,Caribbean,2019,2019
BIH,"",Bosnia and Herz.,3301000,20.164,real:natural_earth_admin0_50m,Europe,Southern Europe,2019,2019
BLM,"",St-Barthélemy,9961,0.255,real:natural_earth_admin0_50m,North America,Caribbean,2017,2016
BLR,"",Belarus,9466856,63.08,real:natural_earth_admin0_50m,Europe,Eastern Europe,2019,2019
BLZ,"",Belize,390353,1.879,real:natural_earth_admin0_50m,North America,Central America,2019,2019
BMU,"",Bermuda,63918,7.484,real:natural_earth_admin0_50m,North America,Northern America,2019,2019
BOL,"",Bolivia,11513100,40.895,real:natural_earth_admin0_50m,South America,South America,2019,2019
BRA,"",Brazil,211049527,1839.758,real:natural_earth_admin0_50m,South America,South America,2019,2019
BRB,"",Barbados,287025,5.209,real:natural_earth_admin0_50m,North America,Caribbean,2019,2019
BRN,RoA,Brunei,433285,13.469,real:natural_earth_admin0_50m,Asia,South-Eastern Asia,2019,2019
BTN,RoA,Bhutan,763092,2.53,real:natural_earth_admin0_50m,Asia,Southern Asia,2019,2019
BWA,"",Botswana,2303697,18.34,real:natural_earth_admin0_50m,Africa,Southern Africa,2019,2019
CAF,"",Central African Rep.,4745185,2.22,real:natural_earth_admin0_50m,Africa,Middle Africa,2019,2019
CAN,"",Canada,37589262,1736.425,real:natural_earth_admin0_50m,North America,Northern America,2019,2019
CHE,"",Switzerland,8574832,703.082,real:natural_earth_admin0_50m,Europe,Western Europe,2019,2019
CHL,"",Chile,18952038,282.318,real:natural_earth_admin0_50m,South America,South America,2019,2019
CHN,CN,China,1397715000,14342.903,real:natural_earth_admin0_50m,Asia,Eastern Asia,2019,2019
CIV,"",Côte d'Ivoire,25716544,58.539,real:natural_earth_admin0_50m,Africa,Western Africa,2019,2019
CMR,"",Cameroon,25876380,39.007,real:natural_earth_admin0_50m,Africa,Middle Africa,2019,2019
COD,"",Dem. Rep. Congo,86790567,50.4,real:natural_earth_admin0_50m,Africa,Middle Africa,2019,2019
COG,"",Congo,5380508,12.267,real:natural_earth_admin0_50m,Africa,Middle Africa,2019,2019
COK,"",Cook Is.,17459,0.244,real:natural_earth_admin0_50m,Oceania,Polynesia,2016,2010
COL,"",Colombia,50339443,323.615,real:natural_earth_admin0_50m,South America,South America,2019,2019
COM,"",Comoros,850886,1.165,real:natural_earth_admin0_50m,Africa,Eastern Africa,2019,2019
CPV,"",Cabo Verde,549935,1.981,real:natural_earth_admin0_50m,Africa,Western Africa,2019,2019
CRI,"",Costa Rica,5047561,61.801,real:natural_earth_admin0_50m,North America,Central America,2019,2019
CUB,"",Cuba,11333483,100.023,real:natural_earth_admin0_50m,North America,Caribbean,2019,2018
CUW,"",Curaçao,157538,3.101,real:natural_earth_admin0_50m,North America,Caribbean,2019,2019
CYM,"",Cayman Is.,64948,5.517,real:natural_earth_admin0_50m,North America,Caribbean,2019,2018
CYN,"",N. Cyprus,326000,3.6,real:natural_earth_admin0_50m,Asia,Western Asia,2017,2013
CYP,EU,Cyprus,1198575,24.948,real:natural_earth_admin0_50m,Asia,Western Asia,2019,2019
CZE,EU,Czechia,10669709,250.68,real:natural_earth_admin0_50m,Europe,Eastern Europe,2019,2019
DEU,EU,Germany,83132799,3861.123,real:natural_earth_admin0_50m,Europe,Western Europe,2019,2019
DJI,"",Djibouti,973560,3.324,real:natural_earth_admin0_50m,Africa,Eastern Africa,2019,2019
DMA,"",Dominica,71808,0.582,real:natural_earth_admin0_50m,North America,Caribbean,2019,2019
DNK,EU,Denmark,5818553,350.104,real:natural_earth_admin0_50m,Europe,Northern Europe,2019,2019
DOM,"",Dominican Rep.,10738958,88.941,real:natural_earth_admin0_50m,North America,Caribbean,2019,2019
DZA,"",Algeria,43053054,171.091,real:natural_earth_admin0_50m,Africa,Northern Africa,2019,2019
ECU,"",Ecuador,17373662,107.435,real:natural_earth_admin0_50m,South America,South America,2019,2019
EGY,"",Egypt,100388073,303.092,real:natural_earth_admin0_50m,Africa,Northern Africa,2019,2019
ERI,"",Eritrea,6081196,2.065,real:natural_earth_admin0_50m,Africa,Eastern Africa,2020,2011
ESP,EU,Spain,47076781,1393.49,real:natural_earth_admin0_50m,Europe,Southern Europe,2019,2019
EST,EU,Estonia,1326590,31.471,real:natural_earth_admin0_50m,Europe,Northern Europe,2019,2019
ETH,"",Ethiopia,112078730,95.912,real:natural_earth_admin0_50m,Africa,Eastern Africa,2019,2019
FIN,EU,Finland,5520314,269.296,real:natural_earth_admin0_50m,Europe,Northern Europe,2019,2019
FJI,"",Fiji,889953,5.496,real:natural_earth_admin0_50m,Oceania,Melanesia,2019,2019
FLK,"",Falkland Is.,3398,0.282,real:natural_earth_admin0_50m,South America,South America,2016,2012
FRA,EU,France,67059887,2715.518,real:natural_earth_admin0_50m,Europe,Western Europe,2019,2019
FRO,"",Faeroe Is.,48678,3.116,real:natural_earth_admin0_50m,Europe,Northern Europe,2019,2018
FSM,"",Micronesia,113815,0.401,real:natural_earth_admin0_50m,Oceania,Micronesia,2019,2018
GAB,"",Gabon,2172579,16.874,real:natural_earth_admin0_50m,Africa,Middle Africa,2019,2019
GBR,UK,United Kingdom,66834405,2829.108,real:natural_earth_admin0_50m,Europe,Northern Europe,2019,2019
