region_from,region_to,weight,source_tag
US,US,0.85,FIXTURE:import_share_x_gdp_weights
EU,US,0.048946,FIXTURE:import_share_x_gdp_weights
UK,US,0.008861,FIXTURE:import_share_x_gdp_weights
CN,US,0.04624,FIXTURE:import_share_x_gdp_weights
JP,US,0.015917,FIXTURE:import_share_x_gdp_weights
KR,US,0.005158,FIXTURE:import_share_x_gdp_weights
IN,US,0.008986,FIXTURE:import_share_x_gdp_weights
TW,US,0.00353,FIXTURE:import_share_x_gdp_weights
SG,US,0.001165,FIXTURE:import_share_x_gdp_weights
RoA,US,0.011195,FIXTURE:import_share_x_gdp_weights
US,EU,0.079832,FIXTURE:import_share_x_gdp_weights
EU,EU,0.8,FIXTURE:import_share_x_gdp_weights
UK,EU,0.010538,FIXTURE:import_share_x_gdp_weights
CN,EU,0.054986,FIXTURE:import_share_x_gdp_weights
JP,EU,0.018928,FIXTURE:import_share_x_gdp_weights
KR,EU,0.006134,FIXTURE:import_share_x_gdp_weights
IN,EU,0.010686,FIXTURE:import_share_x_gdp_weights
TW,EU,0.004198,FIXTURE:import_share_x_gdp_weights
SG,EU,0.001386,FIXTURE:import_share_x_gdp_weights
RoA,EU,0.013313,FIXTURE:import_share_x_gdp_weights
US,UK,0.096702,FIXTURE:import_share_x_gdp_weights
EU,UK,0.070503,FIXTURE:import_share_x_gdp_weights
UK,UK,0.7,FIXTURE:import_share_x_gdp_weights
CN,UK,0.066605,FIXTURE:import_share_x_gdp_weights
JP,UK,0.022928,FIXTURE:import_share_x_gdp_weights
KR,UK,0.00743,FIXTURE:import_share_x_gdp_weights
IN,UK,0.012944,FIXTURE:import_share_x_gdp_weights
TW,UK,0.005085,FIXTURE:import_share_x_gdp_weights
SG,UK,0.001679,FIXTURE:import_share_x_gdp_weights
RoA,UK,0.016126,FIXTURE:import_share_x_gdp_weights
US,CN,0.058926,FIXTURE:import_share_x_gdp_weights
EU,CN,0.042962,FIXTURE:import_share_x_gdp_weights
UK,CN,0.007778,FIXTURE:import_share_x_gdp_weights
CN,CN,0.85,FIXTURE:import_share_x_gdp_weights
JP,CN,0.013971,FIXTURE:import_share_x_gdp_weights
KR,CN,0.004527,FIXTURE:import_share_x_gdp_weights
IN,CN,0.007888,FIXTURE:import_share_x_gdp_weights
TW,CN,0.003098,FIXTURE:import_share_x_gdp_weights
SG,CN,0.001023,FIXTURE:import_share_x_gdp_weights
RoA,CN,0.009827,FIXTURE:import_share_x_gdp_weights
US,JP,0.060056,FIXTURE:import_share_x_gdp_weights
EU,JP,0.043785,FIXTURE:import_share_x_gdp_weights
UK,JP,0.007927,FIXTURE:import_share_x_gdp_weights
CN,JP,0.041364,FIXTURE:import_share_x_gdp_weights
JP,JP,0.82,FIXTURE:import_share_x_gdp_weights
KR,JP,0.004614,FIXTURE:import_share_x_gdp_weights
IN,JP,0.008039,FIXTURE:import_share_x_gdp_weights
TW,JP,0.003158,FIXTURE:import_share_x_gdp_weights
SG,JP,0.001043,FIXTURE:import_share_x_gdp_weights
RoA,JP,0.010015,FIXTURE:import_share_x_gdp_weights
US,KR,0.110847,FIXTURE:import_share_x_gdp_weights
EU,KR,0.080816,FIXTURE:import_share_x_gdp_weights
UK,KR,0.014631,FIXTURE:import_share_x_gdp_weights
CN,KR,0.076348,FIXTURE:import_share_x_gdp_weights
JP,KR,0.026282,FIXTURE:import_share_x_gdp_weights
KR,KR,0.65,FIXTURE:import_share_x_gdp_weights
IN,KR,0.014837,FIXTURE:import_share_x_gdp_weights
TW,KR,0.005829,FIXTURE:import_share_x_gdp_weights
SG,KR,0.001924,FIXTURE:import_share_x_gdp_weights
RoA,KR,0.018485,FIXTURE:import_share_x_gdp_weights
US,IN,0.064506,FIXTURE:import_share_x_gdp_weights
EU,IN,0.04703,FIXTURE:import_share_x_gdp_weights
UK,IN,0.008515,FIXTURE:import_share_x_gdp_weights
CN,IN,0.04443,FIXTURE:import_share_x_gdp_weights
JP,IN,0.015294,FIXTURE:import_share_x_gdp_weights
KR,IN,0.004956,FIXTURE:import_share_x_gdp_weights
IN,IN,0.8,FIXTURE:import_share_x_gdp_weights
TW,IN,0.003392,FIXTURE:import_share_x_gdp_weights
SG,IN,0.00112,FIXTURE:import_share_x_gdp_weights
RoA,IN,0.010757,FIXTURE:import_share_x_gdp_weights
US,TW,0.141432,FIXTURE:import_share_x_gdp_weights
EU,TW,0.103115,FIXTURE:import_share_x_gdp_weights
UK,TW,0.018669,FIXTURE:import_share_x_gdp_weights
CN,TW,0.097414,FIXTURE:import_share_x_gdp_weights
JP,TW,0.033533,FIXTURE:import_share_x_gdp_weights
KR,TW,0.010866,FIXTURE:import_share_x_gdp_weights
IN,TW,0.018931,FIXTURE:import_share_x_gdp_weights
TW,TW,0.55,FIXTURE:import_share_x_gdp_weights
SG,TW,0.002455,FIXTURE:import_share_x_gdp_weights
RoA,TW,0.023585,FIXTURE:import_share_x_gdp_weights
US,SG,0.186511,FIXTURE:import_share_x_gdp_weights
EU,SG,0.135981,FIXTURE:import_share_x_gdp_weights
UK,SG,0.024619,FIXTURE:import_share_x_gdp_weights
CN,SG,0.128463,FIXTURE:import_share_x_gdp_weights
JP,SG,0.044221,FIXTURE:import_share_x_gdp_weights
KR,SG,0.01433,FIXTURE:import_share_x_gdp_weights
IN,SG,0.024965,FIXTURE:import_share_x_gdp_weights
TW,SG,0.009807,FIXTURE:import_share_x_gdp_weights
SG,SG,0.4,FIXTURE:import_share_x_gdp_weights
RoA,SG,0.031103,FIXTURE:import_share_x_gdp_weights
US,RoA,0.097798,FIXTURE:import_share_x_gdp_weights
EU,RoA,0.071302,FIXTURE:import_share_x_gdp_weights
UK,RoA,0.012909,FIXTURE:import_share_x_gdp_weights
CN,RoA,0.06736,FIXTURE:import_share_x_gdp_weights
JP,RoA,0.023188,FIXTURE:import_share_x_gdp_weights
KR,RoA,0.007514,FIXTURE:import_share_x_gdp_weights
IN,RoA,0.013091,FIXTURE:import_share_x_gdp_weights
TW,RoA,0.005142,FIXTURE:import_share_x_gdp_weights
SG,RoA,0.001698,FIXTURE:import_share_x_gdp_weights
RoA,RoA,0.7,FIXTURE:import_share_x_gdp_weights
