row,label
1,software
2,software
3,software
4,software
5,software
6,software
7,software
8,software
9,emb_fixed
10,software
11,software
12,none
13,software
14,software
15,software
16,software
17,software
18,software
19,none
20,none
21,software
22,software
23,software
24,software
25,none
26,software
27,emb_manip
28,emb_driving
29,software
30,emb_driving
31,emb_manip
32,emb_driving
33,software
34,emb_driving
35,emb_manip
36,software
37,software
38,emb_driving
39,emb_driving
40,emb_driving
41,software
42,emb_manip
43,emb_driving
44,software
45,none
46,software
47,emb_manip
48,emb_driving
49,none
50,software
51,none
52,software
53,software
54,none
55,software
56,none
57,software
58,emb_fixed
59,emb_driving
60,emb_manip
61,none
62,emb_manip
63,emb_manip
64,emb_fixed
65,emb_fixed
66,emb_manip
67,emb_fixed
68,emb_manip
69,emb_manip
70,none
71,none
72,none
73,software
74,none
75,none
76,none
77,none
78,emb_manip
79,none
80,none
81,none
82,none
83,emb_fixed
84,emb_fixed
85,emb_fixed
86,emb_fixed
87,emb_fixed
88,emb_fixed
89,none
90,emb_fixed
91,emb_fixed
92,emb_fixed
93,emb_fixed
94,emb_fixed
95,emb_fixed
96,none
97,emb_aerial
98,none
99,none
100,none
101,none
102,none
103,none
104,emb_aerial
105,none
106,none
107,none
108,none
109,emb_driving
110,none
111,none
112,none
113,none
114,none
115,none
116,none
117,none
118,none
119,none
120,none
